"Fábricas de Francia LEON GRAN PLAZA";"Av. Paseo de los Insurgentes s/n. Esquina Blvd. Adolfo López Mateos. Colonia Jardines del Moral. Centro Comercial La Gran Plaza.";"37180";"MX"
"LIVERPOOL.MORELIA";"Av. Lic. Enrique Ramírez Miguel No. 1000. Colonia Las Américas. Plaza Las Américas.";"58270";"MX"
"Fábricas de Francia AGUASCALIENTES";"Calle Mahatma Gandhi s/n. Colonia Pilar Blanco. Centro Comercial Villa Asunción.";"20280";"MX"
"Fábricas de Francia CD. OBREGON";"Calle California esq Guerrero s/n. Colonia Cumuripa. Plaza Tutuli.";"85140";"MX"
"LIVERPOOL MORELIA PASEO";"Av. Montaña Monarca Norte No. 1000 INT. A-1N-01. Centro Comercial Paseo Altozano Morelia. Colonia Ejido Jesús del Monte.";"58350";"MX"
"LIVERPOOL PUERTO VALLARTA";"Boulevard Francisco Medina Ascencio No. 2920. Zona Hotelera Norte. Colonia Educación.";"48338";"MX"
"LIVERPOOL GDL ZAPOPAN";"Av. Patria 2085. Fracc. Plaza Andares Zapopan, Jalisco.";"45080";"MX"
"LIVERPOOL SALTILLO";"Blvd. Nazario S. Ortíz Garza # 2345. Col. Tanque de Peña Centro Comercial Galerías.Saltillo, Coahila.";"25000";"MX"
"LIVERPOOL TLAQUEPAQUE";"Av. Marcelino García Barragán No. 2077 Col. Prados del Nilo CC Forum";"44840";"MX"
"LIVERPOOL LEON";"Blvd. Juan José Alonso de Torres No. 3002. Colonia Valle del Campestre.";"37150";"MX"
"LIVERPOOL PUEBLA";"Av. del Niño Poblano No. 2510. Colonia Concepción de la Cruz. Centro Comercial Angelópolis.";"72430";"MX"
"LIVERPOOL VERACRUZ";"Blvd. Adolfo Ruíz Cortines esq. con Américas s/n. Colonia Costa Verde. Plaza Comercial Las Américas.";"94290";"MX"
"LIVERPOOL METEPEC";"Blvd. Ixtapan de la Sal Norte No. 126. Colonia La Purísima Metepec.";"52040";"MX"
"LIVERPOOL MERIDA";"Calle 60 No. 299. Carretera Mérida Progreso Km. 8.5. Colonia Unidad Revolución Cordemex.";"97110";"MX"
"LIVERPOOL CUERNAVACA";"Autopista México Acapulco Km. 87.850. Esq. Av. de los 50 Metros s/n. Colonia Ricardo Flores Magón 5to. Fraccionamiento. C.P. 62370. Cuernavaca, Morelos.";"62370";"MX"
"LIVERPOOL GUADALAJARA";"Av. Rafael Sanzio No. 150. Int. 204. Colonia Vallarta Camichines.";"45020";"MX"
"LIVERPOOL ECATEPEC";"Av. 1ero. de Mayo. Esquina Av. Central. Mz. 4. Lote. 2. s/n. Colonia Plaza Las Américas.";"55075";"MX"
"LIVERPOOL PARQUE DELTA";"Av. Cuauhtémoc No. 462. Colonia Narvarte. Centro Comercial Parque Delta.";"3020";"MX"
